jMRUI Data Textfile

Filename: NE.txt

PointsInDataset: 2048      
DatasetsInFile: 32        
SamplingInterval: 4.6512E-1 
ZeroOrderPhase: 2.925E-1  
BeginTime: 3.67E-1   
TransmitterFrequency: 1.278E8   
MagneticField: 3.0016E0  
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 32 in file
-4.207E-5	1.5385E-4	-1.5551E-3	-8.9003E-3
-3.6308E-4	-3.939E-4	-3.8509E-3	-8.8128E-3
-1.8417E-4	-4.4167E-4	-2.9414E-3	-1.0358E-2
-3.9565E-4	-6.0962E-4	-6.202E-3	-1.267E-2
-4.7923E-4	-3.3449E-4	-1.2272E-2	-5.9077E-3
-4.1393E-4	-7.7236E-5	-5.7644E-3	-1.7424E-3
-2.65E-4	-8.8316E-5	-3.3695E-3	-1.4315E-3
-2.3998E-4	1.4711E-4	-2.0218E-3	-3.1567E-3
-7.6902E-6	1.6613E-4	3.5925E-3	-4.0329E-3
1.6401E-4	1.5192E-4	2.9979E-4	-7.0173E-3
1.4911E-4	-1.0448E-4	2.0048E-3	-9.5164E-3
2.1444E-4	6.0135E-4	1.6201E-3	-1.0557E-2
3.4031E-4	1.2351E-4	-2.6065E-3	-1.1076E-2
5.915E-4	-1.239E-6	-2.2027E-3	-9.7656E-3
3.0614E-4	-1.0061E-4	-2.6418E-3	-8.2506E-3
4.3518E-4	1.2821E-4	-9.8428E-4	-1.3553E-2
7.6835E-4	-2.4291E-4	-6.4384E-3	-9.9264E-3
2.3296E-4	-1.8796E-4	-7.7944E-3	-7.1993E-3
-2.4026E-4	-2.9093E-4	-4.8718E-3	-3.5996E-3
8.8492E-5	8.3694E-5	-3.9895E-3	-5.7863E-3
-1.5156E-4	3.312E-5	1.5594E-3	-9.708E-3
-4.1025E-4	4.0187E-4	-3.6691E-3	-1.2214E-2
1.1267E-4	1.5013E-4	-4.4712E-3	-1.0627E-2
-6.1359E-5	2.1743E-4	-8.6105E-3	-7.7871E-3
-5.4136E-4	4.543E-4	-5.7649E-3	-3.9378E-3
-3.5431E-4	6.6604E-5	1.2249E-3	-6.1815E-3
-2.2491E-4	7.0903E-4	-3.089E-3	-1.0781E-2
-4.0404E-4	4.2632E-4	-4.3073E-3	-9.586E-3
-1.6646E-4	3.2981E-4	-9.9337E-3	-1.1137E-2
6.4738E-6	2.1169E-4	-4.396E-3	-2.1386E-3
2.646E-5	-2.2547E-4	-2.1214E-3	-1.0883E-2
-2.1179E-4	-9.3588E-5	-6.6395E-3	-7.7854E-3
-1.5478E-4	4.553E-5	-6.629E-3	-5.1582E-3
-1.9825E-4	-5.8367E-4	-1.5533E-3	-3.41E-3
-7.1621E-5	-6.0659E-4	-1.8294E-3	-7.513E-3
-1.2724E-4	-5.0757E-4	-1.4771E-3	-1.29E-2
5.7224E-4	-2.9855E-4	-7.1481E-3	-9.4269E-3
2.8265E-4	-4.5998E-4	-2.2896E-3	-6.8395E-3
4.6084E-4	-3.2678E-4	-6.9577E-3	-1.3294E-2
1.4235E-4	-5.5836E-4	-6.7411E-3	-8.0845E-3
2.9377E-4	-1.5323E-4	-9.6834E-3	-1.0348E-2
1.9382E-4	-4.9376E-4	-1.0996E-2	-1.8834E-3
-1.2435E-5	-4.2288E-4	-5.5239E-3	-3.0655E-3
8.3724E-7	-2.4137E-4	-4.1426E-3	-7.8199E-3
-1.8334E-5	-1.0905E-4	-6.435E-3	-4.0367E-3
3.5035E-5	1.3119E-4	-3.6729E-3	-1.4129E-3
8.0207E-5	2.2756E-4	4.2966E-3	-7.352E-3
-1.219E-4	2.4027E-4	-3.6972E-3	-9.5665E-3
-2.8756E-4	9.2784E-4	-4.8655E-3	-1.4323E-2
-1.3091E-4	6.48E-4	-5.0786E-3	-7.2914E-3
6.2842E-5	5.5443E-4	-6.203E-3	-1.1239E-2
2.6797E-4	6.0605E-4	-7.9063E-3	-7.4421E-3
7.5157E-5	5.8078E-4	-1.4681E-3	-8.5957E-3
1.1166E-4	6.9053E-4	-7.6048E-3	-8.7458E-3
4.8339E-4	3.1474E-4	-3.2938E-3	-1.1396E-2
3.0173E-4	4.0303E-4	-1.3207E-2	-1.2439E-2
1.5917E-4	-3.6025E-4	-1.0925E-2	-1.4333E-3
1.8256E-4	-1.6507E-4	-3.353E-3	-5.0982E-3
-3.096E-5	-4.2286E-4	-1.1564E-2	-9.3375E-3
-5.1875E-4	9.7741E-5	-6.4258E-3	-2.6652E-3
-2.8672E-4	-1.771E-4	-4.211E-3	-6.7862E-3
-5.3238E-4	-4.2108E-4	-6.3156E-3	-7.6257E-3
-5.6738E-4	-1.8336E-4	-1.1906E-2	-2.4879E-3
-5.8483E-4	-1.05E-4	-2.9355E-3	-3.2999E-3
-1.4882E-4	-3.7438E-4	-5.4723E-3	-5.6905E-3
-4.0737E-4	-4.6081E-5	-9.5625E-3	-8.3042E-3
-1.7436E-4	4.3031E-6	-8.2569E-3	1.0814E-3
1.5909E-4	1.491E-4	1.525E-4	9.556E-4
3.1858E-4	-2.5658E-4	9.3274E-4	-6.751E-3
4.162E-4	-6.2751E-4	-3.3957E-3	-1.0252E-2
1.7116E-4	-4.7963E-4	-6.7659E-3	-9.6613E-3
2.3202E-5	-6.9436E-4	-1.0872E-2	-5.332E-3
-1.2975E-4	-3.2364E-4	-1.4137E-3	-3.4905E-3
1.5442E-4	-4.3094E-5	-6.8419E-3	-9.1352E-3
-1.2431E-4	-4.8639E-4	-4.4209E-3	-3.195E-3
2.3228E-4	1.9824E-5	-7.0727E-3	-9.144E-3
-2.0056E-6	-3.8343E-5	-8.6732E-3	-4.6338E-3
9.3985E-5	1.3254E-5	-8.5103E-3	-1.4369E-3
-6.7224E-5	1.7955E-4	-3.539E-3	1.1153E-3
1.0434E-4	-1.93E-4	4.3966E-3	-6.1231E-4
9.3005E-5	2.188E-4	4.5568E-3	-1.2502E-2
-3.0988E-5	3.4246E-4	-5.5866E-3	-1.3962E-2
-1.0476E-4	-3.6938E-5	-4.838E-3	-7.5715E-3
2.9691E-4	2.6869E-4	-6.431E-3	-7.6613E-3
-1.2638E-4	1.3095E-5	-5.2727E-3	-5.8376E-3
2.0166E-4	1.5416E-4	-6.5896E-3	-8.7671E-3
1.9919E-4	1.9718E-4	-5.0953E-3	-4.0432E-3
1.5381E-4	-1.8314E-4	-1.9756E-3	-5.8601E-3
-1.3443E-4	9.1039E-5	-5.6794E-3	-5.6098E-3
-3.7204E-5	-5.6106E-5	-6.8102E-4	-8.9378E-3
-3.5395E-4	-3.2946E-4	-2.7685E-3	-9.3664E-3
-1.7622E-4	-1.4449E-4	-4.4787E-3	-1.0134E-2
-4.0895E-4	-5.973E-6	-3.0255E-3	-1.0148E-2
-1.64E-4	-3.6977E-4	-5.5448E-3	-1.2155E-2
2.3239E-5	4.8596E-5	-1.0491E-2	-1.1581E-2
2.3296E-4	1.4428E-4	-7.9248E-3	-8.8385E-3
1.3888E-4	3.0243E-4	-5.5268E-3	-7.3867E-3
3.0519E-4	-7.8866E-5	-9.5851E-3	-1.299E-2
4.1852E-4	-2.2142E-4	-1.2424E-2	-4.1367E-3
1.1577E-4	-4.5593E-4	-7.5116E-3	-4.7236E-3
1.7909E-4	-2.0605E-4	-1.9277E-3	-8.4261E-3
3.0286E-4	-9.731E-5	-1.1886E-2	-9.0327E-3
1.9599E-4	1.4859E-4	-6.4268E-3	-4.9347E-3
-2.4771E-4	-3.3175E-4	-9.254E-3	-9.7254E-3
-1.7154E-4	-7.0979E-5	-9.0871E-3	-5.0118E-3
3.5133E-5	-7.2912E-5	-1.1339E-2	-3.128E-3
-1.2845E-4	-3.7173E-4	-9.3538E-3	-7.3305E-4
9.7659E-6	-1.1618E-4	-5.3055E-3	-7.548E-4
-2.9285E-4	3.2521E-4	-4.8706E-3	-6.3436E-3
1.2242E-4	-8.8962E-6	-6.6043E-3	-3.1203E-3
-1.7426E-5	-1.9762E-4	-3.8763E-3	-1.1213E-3
2.3018E-4	-3.0293E-4	-3.598E-3	-5.421E-3
2.8501E-4	-1.6738E-4	-2.3112E-3	-2.6446E-3
-1.0814E-4	-4.1864E-5	4.2901E-4	-8.9538E-3
2.6751E-4	-5.4869E-5	-5.666E-3	-8.7813E-3
1.1985E-4	-1.0995E-4	-4.8181E-3	-5.8711E-3
-1.702E-4	-4.8964E-5	-6.3398E-3	-5.9929E-3
1.2812E-4	1.8347E-5	-3.2609E-3	-7.0974E-3
-1.1247E-4	1.3368E-4	-4.7327E-3	-7.1012E-3
-2E-4	1.9937E-5	-7.701E-3	-9.5826E-3
-2.0364E-4	2.926E-4	-8.3211E-3	-5.8529E-3
1.6317E-5	4.2746E-4	-6.6461E-3	-2.6459E-3
3.7177E-5	2.3435E-4	-5.2688E-3	-3.3579E-3
3.1089E-4	2.0533E-4	-5.9519E-3	-4.4451E-3
3.3325E-4	9.1971E-5	7.3928E-5	-2.5251E-3
2.608E-4	-1.1441E-4	-2.8514E-3	-8.4429E-3
1.6063E-4	-4.6751E-4	-2.9797E-3	-4.0547E-3
6.0672E-5	-3.5756E-4	3.2914E-3	-8.7913E-3
-1.5585E-4	-6.6221E-4	-5.5816E-3	-1.6935E-2
-1.9351E-4	-3.5447E-4	-8.6321E-3	-8.7592E-3
-6.1344E-4	-1.5836E-4	-4.9683E-3	-7.4385E-3
-3.3037E-4	-1.4429E-4	-4.526E-3	-1.062E-2
-6.2659E-4	2.8412E-5	-8.6739E-3	-1.0799E-2
-6.012E-4	2.3443E-4	-1.054E-2	-8.1961E-3
-1.3862E-4	5.7961E-4	-7.1313E-3	-2.7999E-3
1.3161E-4	4.3047E-4	-4.2272E-3	-7.7238E-3
7.62E-5	1.8516E-4	-8.9796E-3	-8.8957E-3
2.6431E-4	3.4459E-4	-6.4203E-3	-4.0498E-3
4.6703E-4	4.5607E-4	-5.5367E-3	-6.5336E-3
4.261E-4	4.3999E-4	-9.1728E-3	-7.4409E-3
1.5205E-4	-1.3327E-4	-5.9874E-3	-1.9412E-3
5.755E-4	-1.481E-4	-4.5736E-3	-4.7973E-3
3.9304E-4	-5.655E-4	-3.7693E-3	-9.4139E-3
1.6287E-4	-1.5167E-4	-3.6291E-3	-2.4235E-3
-2.132E-4	-5.479E-5	-5.0312E-3	-9.7203E-3
-1.6837E-4	-2.9261E-4	-5.5041E-3	-5.9775E-3
-2.1148E-4	5.3751E-5	-4.2268E-3	-6.1699E-3
-7.1316E-4	1.1245E-4	-2.7529E-3	-5.9285E-3
-4.9033E-4	9.7743E-5	-4.9391E-3	-9.2227E-3
-6.1677E-4	-2.0437E-5	-4.7632E-3	-7.614E-3
-4.24E-4	2.9385E-4	-1.7776E-3	-8.3901E-3
-7.7279E-5	4.6326E-4	-2.9616E-3	-1.3341E-2
-1.3766E-4	1.9941E-4	-7.915E-3	-9.2061E-3
1.1966E-4	4.4015E-5	-4.1376E-3	-1.0672E-2
8.0397E-4	1.3269E-5	-5.4097E-3	-1.1007E-2
3.4058E-4	1.9864E-6	-7.1049E-3	-1.21E-2
5.8205E-4	-2.1163E-4	-7.527E-3	-8.0038E-3
2.3842E-4	-2.4401E-4	-3.9252E-3	-1.0168E-2
5.289E-4	4.3659E-5	-7.5129E-3	-1.2769E-2
3.1063E-4	-2.8734E-4	-1.0942E-2	-1.4059E-2
3.8336E-4	-5.7283E-4	-1.3596E-2	-8.3494E-3
-9.274E-5	-4.963E-4	-8.7594E-3	-6.2081E-3
-2.3568E-4	-1.9601E-4	-4.4062E-3	-8.5367E-3
-5.0349E-4	-2.0753E-5	-9.6076E-3	-1.1202E-2
-3.2709E-4	-6.7765E-5	-1.3584E-2	-1.0317E-2
-2.6926E-4	3.2078E-4	-1.3015E-2	-4.304E-3
5.4745E-5	6.7622E-4	-6.1197E-3	-2.9385E-3
-4.2729E-5	2.1972E-4	-6.8741E-3	-2.0263E-3
-2.3671E-4	8.7145E-5	-6.237E-3	-5.4831E-3
-5.1058E-5	6.1978E-4	-5.0552E-3	-8.697E-3
4.6096E-4	1.4457E-4	-9.8634E-3	-4.2071E-3
5.7406E-6	-7.6706E-5	-6.3456E-4	-4.6845E-3
-1.923E-4	3.8179E-4	-5.9236E-3	-1.3688E-2
-3.4501E-4	-1.5752E-4	-5.998E-3	-6.4485E-3
-2.5975E-4	-2.196E-4	-3.7262E-3	-8.9078E-3
-1.8315E-4	-8.1991E-5	-5.9331E-3	-1.3654E-2
-5.0204E-4	-3.3895E-4	-7.2695E-3	-8.9287E-3
-2.772E-4	1.1169E-4	-8.2153E-3	-9.1947E-3
-1.6162E-4	-7.4272E-6	-6.7277E-3	-1.09E-2
-1.9049E-5	1.2237E-4	-8.8228E-3	-1.1351E-2
5.6622E-4	2.6107E-4	-9.2599E-3	-1.3754E-2
4.3936E-4	1.2202E-4	-1.3714E-2	-9.1196E-3
1.3585E-4	2.3903E-4	-1.3095E-2	-5.0058E-3
6.2842E-4	1.503E-4	-9.7351E-3	-1.3855E-3
5.7485E-4	1.9412E-4	-1.5456E-3	-3.6501E-3
2.9735E-4	-8.0195E-5	-1.6992E-3	-1.1535E-2
3.4371E-4	-1.5757E-4	-8.4836E-3	-1.1073E-2
3.0588E-4	-2.2622E-4	-4.6425E-3	-1.0459E-2
-1.7176E-4	-1.2325E-4	-8.6186E-3	-9.8149E-3
3.0345E-5	1.4586E-4	-6.2276E-3	-9.7772E-3
-3.4907E-5	-3.0268E-4	-8.7805E-3	-1.2068E-2
-2.3274E-4	-1.9544E-4	-7.7558E-3	-9.6526E-3
-1.8682E-4	5.9333E-5	-5.8781E-3	-8.9637E-3
-1.9539E-4	3.3562E-4	-7.9027E-3	-1.2709E-2
2.1673E-4	1.9597E-4	-7.6363E-3	-1.3478E-2
-4.9977E-4	5.5793E-4	-1.2238E-2	-1.6708E-2
-2.7827E-5	2.3584E-4	-1.6089E-2	-1.3324E-2
-3.8792E-5	3.6676E-4	-1.673E-2	-8.989E-3
5.4115E-5	1.7354E-4	-1.55E-2	-3.3385E-3
8.6396E-5	7.7546E-5	-1.2405E-2	-2.958E-3
4.062E-5	-3.2785E-4	-1.005E-2	-1.3362E-4
1.0551E-4	-2.8766E-4	-4.6493E-3	-6.3344E-3
4.4254E-5	-4.6089E-4	-6.7466E-3	-7.9465E-3
-2.352E-5	-4.0548E-4	-7.2036E-3	-1.0778E-2
-1.8264E-4	-2.6139E-4	-1.3044E-2	-7.3409E-3
-4.3771E-4	-4.2018E-4	-6.8331E-3	-7.5128E-3
-2.6669E-4	4.1587E-5	-8.7088E-3	-9.1389E-3
-2.3505E-4	1.3503E-4	-1.1449E-2	-5.498E-3
-1.108E-4	1.6142E-4	-6.2879E-3	-4.4147E-3
-1.5722E-4	1.623E-4	-5.3877E-3	-1.3366E-2
3.4832E-4	5.0911E-4	-1.4885E-2	-1.2147E-2
2.215E-4	-2.0825E-5	-1.3851E-2	-8.6272E-3
5.4691E-4	1.8766E-4	-1.4584E-2	-3.415E-3
6.6754E-4	3.1204E-4	-1.0453E-2	1.9035E-3
5.6276E-4	-7.6528E-5	-5.8405E-4	-3.579E-3
1.2156E-4	2.4744E-6	-5.0751E-3	-7.4813E-3
2.7382E-4	-7.803E-5	-6.1257E-3	-8.9272E-3
1.8028E-5	-4.1328E-4	-5.9981E-3	-1.0648E-2
-1.346E-4	-3.7404E-4	-9.7728E-3	-1.0451E-2
-1.4038E-4	-3.612E-4	-5.9482E-3	-6.7707E-3
-1.0242E-4	1.5163E-4	-7.2812E-3	-1.447E-2
1.9445E-4	1.6563E-4	-1.1229E-2	-1.2036E-2
-4.3966E-4	2.5875E-4	-9.7223E-3	-1.0237E-2
-2.6735E-4	4.86E-4	-9.7915E-3	-9.7323E-3
-1.7386E-4	3.4224E-4	-5.3391E-3	-9.1146E-3
-1.5885E-5	5.4142E-4	-1.2917E-2	-1.4629E-2
-3.6845E-4	3.1365E-4	-1.7418E-2	-9.6588E-3
1.4022E-4	3.5191E-4	-1.1276E-2	-4.9948E-3
3.0007E-4	-1.7495E-4	-9.2475E-3	-4.6762E-3
4.108E-4	-6.7031E-5	-9.4306E-3	-7.9401E-3
5.9054E-4	-1.7994E-4	-7.8941E-3	-7.5591E-3
5.8137E-4	-3.238E-4	-6.6912E-3	-7.6442E-3
4.5552E-4	-2.2475E-4	-1.1394E-2	-9.326E-3
-1.4252E-4	-5.2757E-4	-9.6306E-3	-4.6578E-3
-5.6616E-5	-4.5035E-4	-6.0403E-3	-1.027E-2
-1.8363E-4	-4.6282E-4	-4.8499E-3	-1.0344E-2
-5.2794E-4	-4.2276E-4	-1.152E-2	-9.4746E-3
-5.858E-4	2.9402E-5	-7.0601E-3	-7.7538E-3
-2.053E-4	6.7669E-6	-6.5831E-3	-1.1489E-2
-3.7728E-4	4.1338E-4	-1.0146E-2	-1.1036E-2
-1.6893E-4	1.8153E-4	-1.0668E-2	-8.1472E-3
-1.5112E-4	4.5813E-4	-1.018E-2	-8.3789E-3
3.5015E-4	3.8139E-4	-5.7147E-3	-5.8799E-3
5.3397E-4	5.0161E-4	-4.3821E-3	-8.4486E-3
4.0715E-4	8.5313E-5	-5.2056E-3	-1.8402E-2
1.0799E-4	6.9994E-5	-1.3184E-2	-1.3062E-2
1.4563E-4	1.5416E-4	-6.2581E-3	-7.8055E-3
1.1446E-4	-1.5737E-4	-7.4638E-3	-1.5391E-2
-1.1296E-4	-6.8893E-4	-8.6787E-3	-9.5531E-3
1.4417E-4	3.1066E-5	-4.8066E-3	-1.1198E-2
2.3291E-5	-2.0868E-4	-5.6156E-3	-2.0862E-2
-2.6683E-4	-2.3199E-4	-1.1705E-2	-1.9532E-2
-6.6752E-4	3.8445E-5	-1.8374E-2	-1.6556E-2
-2.7619E-4	3.695E-4	-1.8757E-2	-1.1759E-2
1.9103E-5	2.5545E-4	-1.4894E-2	-6.2652E-3
2.1932E-4	4.666E-4	-1.099E-2	-1.2864E-2
-4.758E-5	1.8971E-4	-1.2739E-2	-9.5812E-3
1.3418E-4	1.0981E-4	-1.2763E-2	-1.0954E-2
2.8284E-4	2.6631E-4	-1.1689E-2	-1.0098E-2
5.2859E-4	4.4555E-5	-1.4563E-2	-1.1401E-2
1.3845E-4	1.6029E-4	-1.4461E-2	-8.3441E-3
5.2192E-4	-2.0321E-6	-1.0252E-2	-6.807E-3
1.3541E-4	-3.1363E-4	-9.8841E-3	-9.0316E-3
1.4166E-4	-1.6272E-4	-7.9834E-3	-1.2889E-2
1.7614E-4	-6.0062E-4	-1.278E-2	-1.1537E-2
-1.6731E-4	-4.765E-4	-1.1235E-2	-1.0696E-2
-4.9182E-4	-2.7991E-4	-1.0993E-2	-1.0458E-2
-1.4855E-4	-4.4159E-4	-9.76E-3	-1.2985E-2
-2.8528E-4	-1.991E-4	-1.252E-2	-9.0545E-3
-3.3601E-4	1.6351E-4	-8.821E-3	-9.2004E-3
-3.6235E-4	2.0709E-4	-8.1646E-3	-1.0556E-2
-1.4616E-5	1.5513E-4	-1.0868E-2	-1.2991E-2
2.0042E-4	1.4147E-4	-8.185E-3	-1.3108E-2
1.0476E-4	5.0209E-4	-1.3809E-2	-1.3055E-2
2.5247E-4	3.5666E-6	-1.2551E-2	-1.0255E-2
2.8099E-4	1.0603E-4	-8.7003E-3	-9.683E-3
-1.2867E-4	-9.3689E-6	-9.2321E-3	-9.676E-3
1.2153E-4	-3.3047E-5	-5.379E-3	-9.7123E-3
2.5668E-5	-2.6382E-4	-3.4667E-3	-1.548E-2
-2.1017E-4	-4.4696E-5	-9.4043E-3	-1.7793E-2
-3.0697E-4	1.3748E-4	-9.915E-3	-1.3624E-2
-1.4874E-4	5.9535E-5	-7.5354E-3	-1.2118E-2
-1.7765E-4	-3.093E-4	-6.6137E-3	-1.721E-2
-8.9512E-5	-3.1735E-4	-6.7649E-3	-1.242E-2
-4.3479E-4	1.6504E-5	-5.7685E-3	-2.0191E-2
-2.4173E-4	3.5426E-4	-1.239E-2	-2.005E-2
-1.3593E-5	5.5141E-4	-1.1204E-2	-1.8239E-2
-4.783E-5	4.4667E-4	-1.2636E-2	-1.4414E-2
2.2477E-4	2.4528E-4	-7.4999E-3	-1.5787E-2
1.769E-4	2.4387E-4	-6.9893E-3	-2.1888E-2
-1.1132E-4	4.1731E-5	-1.2923E-2	-2.0684E-2
4.4974E-5	1.423E-4	-1.3145E-2	-1.9976E-2
5.3735E-4	1.6014E-4	-1.4835E-2	-1.8398E-2
4.3751E-4	-2.0263E-4	-1.2671E-2	-1.5641E-2
-2.4699E-5	-4.3951E-5	-9.7464E-3	-1.178E-2
-2.0622E-5	-5.5035E-4	-6.427E-3	-1.8057E-2
-8.0129E-5	-3.781E-5	-1.1604E-2	-1.965E-2
1.2985E-4	-2.8855E-4	-1.0979E-2	-1.841E-2
5.0988E-5	8.6799E-5	-7.8254E-3	-1.8304E-2
-2.2628E-4	1.3066E-4	-1.0335E-2	-2.146E-2
-1.9404E-4	-5.676E-6	-8.4599E-3	-1.7496E-2
-1.7E-5	-1.9619E-4	-2.6803E-3	-2.5059E-2
-1.7326E-4	-2.9679E-4	-1.2784E-2	-2.4438E-2
-7.6869E-5	1.3026E-4	-9.9951E-3	-1.936E-2
-2.453E-4	2.8581E-4	-4.0514E-3	-2.3449E-2
-3.2294E-4	-2.3484E-4	-4.8463E-3	-2.7713E-2
1.2507E-4	-4.3961E-4	-7.9994E-3	-2.8775E-2
-2.6304E-4	-8.6734E-5	-8.9271E-3	-3.0734E-2
-3.5561E-4	-1.9181E-4	-9.719E-3	-2.9966E-2
-1.6464E-4	-7.8201E-6	-1.0357E-2	-3.0971E-2
-1.8216E-4	7.1142E-5	-1.1438E-2	-3.2112E-2
-5.1381E-4	8.5028E-5	-1.1887E-2	-3.5848E-2
-1.8745E-4	-4.5606E-5	-1.5894E-2	-3.6797E-2
-3.2293E-4	-1.988E-4	-1.7194E-2	-3.4044E-2
-1.2171E-4	5.1546E-5	-1.6692E-2	-3.9111E-2
-4.6198E-4	4.2211E-4	-2.6011E-2	-3.786E-2
7.9256E-5	1.3487E-5	-2.244E-2	-3.1668E-2
8.0623E-5	6.6764E-5	-2.453E-2	-3.586E-2
2.15E-4	3.8225E-4	-2.1646E-2	-2.6747E-2
3.2164E-4	-5.6461E-4	-1.6257E-2	-2.9364E-2
2.8137E-4	6.8633E-5	-1.6421E-2	-3.4973E-2
5.3665E-4	-1.6294E-6	-1.7209E-2	-3.357E-2
4.9351E-4	-4.61E-4	-1.6948E-2	-3.9575E-2
7.9518E-6	-4.9975E-4	-1.7207E-2	-4.1021E-2
9.4648E-5	-1.4177E-4	-1.7699E-2	-4.1708E-2
3.0129E-4	-4.4395E-4	-1.9958E-2	-4.8721E-2
-1.2451E-4	-9.7816E-5	-2.8474E-2	-5.1088E-2
-1.7583E-4	-7.5611E-5	-2.746E-2	-4.9003E-2
-5.031E-4	9.7541E-7	-3.038E-2	-4.5549E-2
-1.4214E-4	8.431E-5	-2.9165E-2	-5.1387E-2
-3.3976E-4	4.3064E-4	-3.7613E-2	-5.7141E-2
-4.6285E-5	2.546E-4	-4.8249E-2	-5.0383E-2
-2.1352E-4	1.7124E-4	-4.0004E-2	-4.3824E-2
2.4037E-4	2.9372E-4	-4.053E-2	-4.8075E-2
-1.5801E-6	9.5035E-5	-4.4958E-2	-4.4339E-2
1.2368E-4	1.0388E-4	-4.0643E-2	-4.4856E-2
-3.2161E-4	1.4587E-5	-4.5864E-2	-4.9343E-2
5.2235E-5	-4.3478E-4	-4.2567E-2	-4.5299E-2
6.2484E-6	2.1991E-4	-4.3483E-2	-5.2957E-2
5.6352E-5	-1.1258E-4	-5.1405E-2	-5.1949E-2
-5.7881E-5	-1.921E-4	-5.3452E-2	-5.1002E-2
-6.4861E-4	1.6492E-5	-5.3568E-2	-5.3453E-2
-5.5047E-4	-3.7241E-4	-6.0128E-2	-5.9298E-2
-4.9508E-4	-9.5601E-6	-6.5528E-2	-5.6037E-2
-3.3923E-4	4.8797E-4	-7.071E-2	-4.9152E-2
-1.7427E-4	5.2836E-4	-6.8713E-2	-4.9184E-2
2.6966E-5	3.8798E-4	-7.1351E-2	-5.203E-2
-4.2209E-4	2.829E-4	-7.618E-2	-4.873E-2
2.4976E-4	8.6141E-4	-7.5324E-2	-4.7192E-2
2.6356E-4	7.5658E-4	-8.2654E-2	-5.2765E-2
3.604E-4	2.7357E-4	-9.3834E-2	-4.5817E-2
5.0108E-4	5.2092E-5	-9.373E-2	-3.8456E-2
5.4565E-4	1.3525E-4	-9.4659E-2	-3.6858E-2
6.1604E-4	-4.5147E-4	-9.9248E-2	-3.4167E-2
4.7257E-4	-1.0974E-4	-9.7363E-2	-2.9432E-2
3.875E-4	-6.902E-4	-1.0488E-1	-2.9579E-2
-1.0897E-4	-6.7759E-4	-1.071E-1	-1.7388E-2
-2.2892E-4	-3.1257E-4	-9.8894E-2	-1.1208E-2
-1.0771E-4	-1.1019E-4	-1.0107E-1	-1.8759E-2
-2.0915E-4	7.6065E-5	-1.0546E-1	-1.1857E-2
-7.3774E-5	2.6057E-5	-1.0538E-1	-1.1865E-2
-2.0973E-5	1.1875E-4	-1.0952E-1	-3.6528E-3
-2.694E-4	7.2194E-5	-1.0415E-1	-7.921E-4
5.4563E-5	-2.3423E-5	-1.0471E-1	-1.5119E-4
1.7524E-4	5.5796E-4	-1.0466E-1	-1.4719E-3
4.5038E-5	5.6589E-5	-1.1224E-1	1.3334E-3
4.3449E-4	-1.67E-4	-1.1437E-1	9.938E-3
3.3339E-4	-1.0058E-4	-1.1555E-1	1.6714E-2
2.9599E-4	-1.1154E-4	-1.0874E-1	2.4254E-2
-2.7884E-5	-4.9745E-4	-1.0651E-1	1.9006E-2
-1.742E-4	-1.6438E-4	-1.1225E-1	2.4346E-2
-6.3929E-5	-8.3704E-5	-1.072E-1	3.4764E-2
-1.495E-4	-3.8183E-4	-1.0439E-1	3.3466E-2
-3.8792E-4	-3.7585E-4	-1.0184E-1	3.73E-2
-3.3385E-4	-1.3676E-4	-1.0265E-1	3.8727E-2
-2.7645E-4	-1.2192E-4	-1.0048E-1	4.2147E-2
-1.1575E-4	1.8384E-4	-9.5678E-2	4.6022E-2
-3.1846E-4	1.6004E-4	-9.5304E-2	4.5226E-2
-6.0037E-4	5.9999E-4	-9.4672E-2	4.7627E-2
-3.1713E-5	5.983E-4	-9.5899E-2	5.0654E-2
3.5553E-4	-2.9888E-5	-9.1453E-2	5.6106E-2
1.5885E-4	2.9241E-4	-9.0811E-2	5.2992E-2
3.4978E-4	-1.0537E-4	-8.9723E-2	5.5151E-2
5.8334E-4	-7.1503E-5	-9.2483E-2	6.4587E-2
2.7762E-4	-2.5595E-4	-8.405E-2	6.5638E-2
2.8728E-4	6.5503E-5	-8.29E-2	7.0745E-2
1.9888E-4	-2.6321E-4	-7.4203E-2	6.9676E-2
-3.1817E-4	-3.1673E-4	-7.7913E-2	6.8894E-2
-2.4098E-4	-3.2222E-4	-7.6474E-2	7.413E-2
-4.9399E-4	7.1328E-6	-6.701E-2	7.819E-2
-5.5231E-4	1.3904E-5	-6.6399E-2	7.6036E-2
1.9045E-5	1.1536E-4	-5.9802E-2	7.7741E-2
-3.0504E-4	1.7319E-4	-5.7372E-2	7.3828E-2
-4.2133E-4	3.2622E-4	-6.0607E-2	7.3156E-2
1.2807E-4	5.4717E-4	-5.7286E-2	7.6681E-2
-3.3302E-4	3.9483E-4	-5.2638E-2	7.7856E-2
-4.0636E-5	5.2793E-4	-5.2721E-2	7.586E-2
-2.166E-4	6.9268E-4	-4.8974E-2	7.7332E-2
2.2892E-4	4.2275E-4	-5.2039E-2	7.9003E-2
5.0174E-4	-3.0487E-4	-4.5312E-2	8.7227E-2
